779450`NV`2024-04-16 00:00:00.000`0.0`1.25`1`0`
779450`NV`2024-04-15 00:00:00.000`0.0`1.75`0`0`
779449`JRL`2024-04-03 00:00:00.000`0.0`0.33000000000000002`1`0`
779447`JT`2024-04-16 00:00:00.000`0.0`0.75`0`0`
779447`JT`2024-04-17 00:00:00.000`0.0`0.71999999999999997`1`0`
779446`EU`2024-04-15 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
779445`CA`2024-04-09 00:00:00.000`0.0`0.5`0`0`
779445`CA`2024-04-12 00:00:00.000`0.0`8.9499999999999993`0`0`
779445`CA`2024-04-15 00:00:00.000`0.0`4.29`1`0`
779444`JZ`2024-04-08 00:00:00.000`0.0`0.29999999999999999`1`0`
779443`EU`2024-04-08 00:00:00.000`0.0`3.0`1`0`
779442`AE`2024-04-04 00:00:00.000`0.0`1.0`0`0`
779442`AE`2024-04-05 00:00:00.000`0.0`1.5`1`0`
779441`BS`2024-04-04 00:00:00.000`0.0`2.5`1`0`
779440`JRL`2024-04-03 00:00:00.000`0.0`0.29999999999999999`1`0`
779435`JPK`2024-04-17 00:00:00.000`0.0`0.75`1`0`
779434`AB`2024-04-16 00:00:00.000`0.0`2.4700000000000002`1`0`
779433`JRL`2024-04-10 00:00:00.000`0.0`0.12`1`0`
779419`NR`2024-04-16 00:00:00.000`0.0`4.4299999999999997`0`0`
779418`DT`2024-04-15 00:00:00.000`0.0`0.75`45`0`
779417`AH`2024-04-10 00:00:00.000`0.0`3.0800000000000001`45`0`
779416`ITA`2024-04-09 00:00:00.000`0.0`3.02`8`0`
779415`JRL`2024-04-08 00:00:00.000`0.0`0.5`45`0`
779399`AH`2024-04-17 00:00:00.000`0.0`0.16`4`0`
779398`KJF`2024-04-16 00:00:00.000`0.0`0.22`0`0`
779398`KJF`2024-04-16 00:00:00.000`0.0`1.3799999999999999`4`0`
779397`DT`2024-04-12 00:00:00.000`0.0`0.33000000000000002`4`0`
779396`TJ`2024-04-11 00:00:00.000`0.0`1.27`4`0`
779395`AB`2024-04-09 00:00:00.000`0.0`1.5`0`0`
