LVL-7-KADEN`NULL`2021-09-15 00:00:00.000`NULL`Active`NULL`NULL`1`0`0`1`4`0`0`NULL`NULL`NULL`NULL`NULL`NULL`NULL
LBR2024-03`NULL`2024-02-27 00:00:00.000`NULL`Active`NULL`NULL`1`0`0`1`4`0`0`NULL`NULL`NULL`NULL`NULL`NULL`NULL
134045`GATES`2024-03-18 00:00:00.000`C.07143.422.30.00`Active`NULL`8MX-35S-21`1`0`0`1`6`0`0`1846075`1`NULL`NULL`1 ITEM  `NULL`NULL
133820`BRETTING`2024-03-04 00:00:00.000`4692-1185`Active`C`33T, AT20 PULLEY`4`0`0`4`0`4`0`387234`2`2024-03-18 00:00:00.000`2024-03-06 00:00:00.000`1 OF 13 ITEMS - SEPARATE SHIP DATES - SHIPS FIRST WITH JOB# 133820 & 133821 Caleb H`2024-03-04 00:00:00.000`NULL
133819`BRETTING`2024-03-04 00:00:00.000`4692-1828`Active`B`66T, AT10 PULLEY`4`0`0`4`0`4`0`387234`1`2024-03-18 00:00:00.000`2024-03-06 00:00:00.000`1 OF 13 ITEMS - SEPARATE SHIP DATES - SHIPS FIRST WITH JOB# 133820 & 133821 Caleb H`2024-03-04 00:00:00.000`NULL
133817`MACHINE TO`2024-03-04 00:00:00.000`5858M-1200.1`Active`-`P32-8M-50 X 47MM,`1`0`0`1`2`0`0`33052`1`2024-03-22 00:00:00.000`2024-03-12 00:00:00.000`1 OF 2 ITEMS Caleb H`2024-03-04 00:00:00.000`NULL
133816`VALMET-GB`2024-03-04 00:00:00.000`295716`Active`NULL`P58-8M-50 W/ FLNGES`1`3`0`4`6`0`0`4201158908`2`2024-03-26 00:00:00.000`2024-03-06 00:00:00.000`1 OF 2 ITEMS - SEPARATE SHIP DATES - SHIPS LAST  Greg V`2024-03-04 00:00:00.000`NULL
133814`MO-APPLETN`2024-03-04 00:00:00.000`23B1001`Active`A`26T, 8/16 DP INT. SPLINE,`1`0`0`1`3`0`0`WI02-00565623`1`2024-03-25 00:00:00.000`2024-03-13 00:00:00.000`1 ITEM  Caleb H`2024-03-04 00:00:00.000`NULL
133801`EDG GEAR`2024-03-01 00:00:00.000`426443`Active`A`126T, 6 DP DRIVE GEAR`1`0`0`1`5`0`0`RF 03/01/24`4`2024-03-29 00:00:00.000`2024-03-05 00:00:00.000`1 ITEM  Greg V`2024-03-04 00:00:00.000`NULL
133799`EDG GEAR`2024-03-01 00:00:00.000`248159`Active`NULL`36T, 8DP ELEVATING GEAR`3`0`0`3`4`0`0`RF 03/01/24`2`2024-03-27 00:00:00.000`2024-03-05 00:00:00.000`1 ITEM Greg V`2024-03-04 00:00:00.000`NULL
133794`PSA - ONTA`2024-03-01 00:00:00.000`Q456358`Active`NULL`45T, 10 DP DRIVE GEAR`1`0`0`1`7`0`0`P635027`3`2024-04-02 00:00:00.000`2024-03-14 00:00:00.000`1 OF 5 ITEMS  BRENT`2024-03-01 00:00:00.000`NULL
133791`GATES`2024-03-01 00:00:00.000`14M-80S-125 X M`Active`NULL`STEEL, FLANGED, LESS BUSHING`1`0`0`1`1`0`0`1844666`1`2024-03-21 00:00:00.000`2024-03-07 00:00:00.000`1 ITEM   BRENT`2024-03-01 00:00:00.000`NULL
133790`KIM NEENAH`2024-03-01 00:00:00.000`C153-M-16416`Active`C-04`96T, 8 DP SPUR GEAR`1`0`0`1`4`0`0`17939037`1`2024-04-04 00:00:00.000`2024-03-13 00:00:00.000`1 ITEM   Caleb H`2024-03-01 00:00:00.000`NULL
